proveedor,cuit,cbu,banco,direccion,monto,concepto
TechSolutions SA,30712345678,0000003100012345678901,Banco Galicia,Av. Corrientes 1234,500000.00,Servicios IT
Libreria El Estudiante,20281234567,0140000700012345678902,Banco Provincia,Calle Falsa 123,15000.50,Insumos
# FRAUDE 1: Mismo CBU, distinto CUIT/Proveedor
Consultora Alfa,30777777778,0720000720000000000033,Banco Santander,Florida 400,850000.00,Consultoría
Servicios Beta,30888888889,0720000720000000000033,Banco Santander,Lavalle 500,920000.00,Asesoramiento
# FRAUDE 2: Misma Dirección
Transportes Sur,30111111112,0170000700000000000044,Banco Frances,Paraguay 800,120000.00,Logística
Logistica Norte,30222222223,0110000700000000000055,Banco Nacion,Paraguay 800,135000.00,Distribución
# FRAUDE 3: Relaciones Indirectas (Grupo Económico Oculto)
Distribuidora X,30333333334,0000003100000000000066,Banco Galicia,Lima 100,400000.00,Mercadería
Inversiones Y,30444444445,0000003100000000000066,Banco Galicia,Salta 200,500000.00,Finanzas
Comercial Z,30555555556,0140000700000000000077,Banco Provincia,Salta 200,300000.00,Bienes
